id,name,release_year,name_year,tmdbid,imdbid
937,Love in the Afternoon ,1957,Love in the Afternoon 1957,18299,50658
938,Gigi ,1958,Gigi 1958,17281,51658
939,"Reluctant Debutante, The ",1958,"Reluctant Debutante, The 1958",64382,52126
940,"Adventures of Robin Hood, The ",1938,"Adventures of Robin Hood, The 1938",10907,29843
941,"Mark of Zorro, The ",1940,"Mark of Zorro, The 1940",32093,32762
942,Laura ,1944,Laura 1944,1939,37008
943,"Ghost and Mrs. Muir, The ",1947,"Ghost and Mrs. Muir, The 1947",22292,39420
944,Lost Horizon ,1937,Lost Horizon 1937,3598,29162
945,Top Hat ,1935,Top Hat 1935,3080,27125
946,To Be or Not to Be ,1942,To Be or Not to Be 1942,198,35446
947,My Man Godfrey ,1936,My Man Godfrey 1936,13562,28010
948,Giant ,1956,Giant 1956,1712,49261
949,East of Eden ,1955,East of Eden 1955,220,48028
950,"Thin Man, The ",1934,"Thin Man, The 1934",3529,25878
951,His Girl Friday ,1940,His Girl Friday 1940,3085,32599
952,Around the World in 80 Days ,1956,Around the World in 80 Days 1956,2897,48960
953,It's a Wonderful Life ,1946,It's a Wonderful Life 1946,1585,38650
954,Mr. Smith Goes to Washington ,1939,Mr. Smith Goes to Washington 1939,3083,31679
955,Bringing Up Baby ,1938,Bringing Up Baby 1938,900,29947
956,Penny Serenade ,1941,Penny Serenade 1941,43795,34012
957,"Scarlet Letter, The ",1926,"Scarlet Letter, The 1926",85638,17350
958,Lady of Burlesque ,1943,Lady of Burlesque 1943,50001,36094
959,Of Human Bondage ,1934,Of Human Bondage 1934,43905,25586
960,Angel on My Shoulder ,1946,Angel on My Shoulder 1946,22688,38300
961,Little Lord Fauntleroy ,1936,Little Lord Fauntleroy 1936,23114,27893
963,"Inspector General, The ",1949,"Inspector General, The 1949",40206,41509
964,Angel and the Badman ,1947,Angel and the Badman 1947,22356,39152
965,"39 Steps, The ",1935,"39 Steps, The 1935",260,26029
966,"Walk in the Sun, A ",1945,"Walk in the Sun, A 1945",43488,38235
967,"Outlaw, The ",1943,"Outlaw, The 1943",22613,36241
968,Night of the Living Dead ,1968,Night of the Living Dead 1968,10331,63350
969,"African Queen, The ",1951,"African Queen, The 1951",488,43265
971,Cat on a Hot Tin Roof ,1958,Cat on a Hot Tin Roof 1958,261,51459
972,"Last Time I Saw Paris, The ",1954,"Last Time I Saw Paris, The 1954",57575,47162
973,Meet John Doe ,1941,Meet John Doe 1941,32574,33891
974,Algiers ,1938,Algiers 1938,22657,29855
975,Something to Sing About ,1937,Something to Sing About 1937,76464,29588
976,"Farewell to Arms, A ",1932,"Farewell to Arms, A 1932",22649,22879
977,Moonlight Murder ,1936,Moonlight Murder 1936,176841,27980
978,"Blue Angel, The ",1930,"Blue Angel, The 1930",162806,818931
979,Nothing Personal ,1995,Nothing Personal 1995,125587,114007
981,Dangerous Ground ,1997,Dangerous Ground 1997,52855,118927
982,Picnic ,1955,Picnic 1955,39940,48491
983,Madagascar Skin ,1995,Madagascar Skin 1995,172868,113730
984,"Pompatus of Love, The ",1996,"Pompatus of Love, The 1996",85328,117357
986,Fly Away Home ,1996,Fly Away Home 1996,11076,116329
987,Bliss ,1997,Bliss 1997,63945,118742
988,Grace of My Heart ,1996,Grace of My Heart 1996,58985,116442
990,Maximum Risk ,1996,Maximum Risk 1996,10861,117011
991,Michael Collins ,1996,Michael Collins 1996,1770,117039
992,"Rich Man's Wife, The ",1996,"Rich Man's Wife, The 1996",44465,117473
993,Infinity ,1996,Infinity 1996,2033,116635
994,Big Night ,1996,Big Night 1996,18203,115678
996,Last Man Standing ,1996,Last Man Standing 1996,9333,116830
997,Caught ,1996,Caught 1996,47260,115847
998,Set It Off ,1996,Set It Off 1996,9400,117603
999,2 Days in the Valley ,1996,2 Days in the Valley 1996,9401,115438
1000,Curdled ,1996,Curdled 1996,12241,115994
1002,Ed's Next Move ,1996,Ed's Next Move 1996,161806,116167
1003,Extreme Measures ,1996,Extreme Measures 1996,11306,116259
1004,"Glimmer Man, The ",1996,"Glimmer Man, The 1996",9625,116421
1005,D3: The Mighty Ducks ,1996,D3: The Mighty Ducks 1996,10680,116000
1006,"Chamber, The ",1996,"Chamber, The 1996",6346,115862
1007,"Apple Dumpling Gang, The ",1975,"Apple Dumpling Gang, The 1975",18660,72653
1008,"Davy Crockett, King of the Wild Frontier ",1955,"Davy Crockett, King of the Wild Frontier 1955",35115,47977
1009,Escape to Witch Mountain ,1975,Escape to Witch Mountain 1975,14821,72951
1010,"Love Bug, The ",1969,"Love Bug, The 1969",14136,64603
1011,Herbie Rides Again ,1974,Herbie Rides Again 1974,10869,71607
1012,Old Yeller ,1957,Old Yeller 1957,22660,50798
1013,"Parent Trap, The ",1961,"Parent Trap, The 1961",19186,55277
1014,Pollyanna ,1960,Pollyanna 1960,31102,54195
1015,Homeward Bound: The Incredible Journey ,1993,Homeward Bound: The Incredible Journey 1993,6878,107131
1016,"Shaggy Dog, The ",1959,"Shaggy Dog, The 1959",15944,53271
1017,Swiss Family Robinson ,1960,Swiss Family Robinson 1960,18444,54357
1018,That Darn Cat! ,1965,That Darn Cat! 1965,20723,59793
1019,"20,000 Leagues Under the Sea ",1954,"20,000 Leagues Under the Sea 1954",173,46672
1020,Cool Runnings ,1993,Cool Runnings 1993,864,106611
1021,Angels in the Outfield ,1994,Angels in the Outfield 1994,24795,109127
1022,Cinderella ,1950,Cinderella 1950,11224,42332
1023,Winnie the Pooh and the Blustery Day ,1968,Winnie the Pooh and the Blustery Day 1968,81310,63819
1024,"Three Caballeros, The ",1945,"Three Caballeros, The 1945",15947,38166
1025,"Sword in the Stone, The ",1963,"Sword in the Stone, The 1963",9078,57546
1026,So Dear to My Heart ,1949,So Dear to My Heart 1949,29682,41890
1027,Robin Hood: Prince of Thieves ,1991,Robin Hood: Prince of Thieves 1991,8367,102798
1028,Mary Poppins ,1964,Mary Poppins 1964,433,58331
1029,Dumbo ,1941,Dumbo 1941,11360,33563
1030,Pete's Dragon ,1977,Pete's Dragon 1977,11114,76538
1031,Bedknobs and Broomsticks ,1971,Bedknobs and Broomsticks 1971,12335,66817
1032,Alice in Wonderland ,1951,Alice in Wonderland 1951,12092,43274
1033,"Fox and the Hound, The ",1981,"Fox and the Hound, The 1981",10948,82406
1034,Freeway ,1996,Freeway 1996,11229,116361
1035,"Sound of Music, The ",1965,"Sound of Music, The 1965",15121,59742
1036,Die Hard ,1988,Die Hard 1988,562,95016
1037,"Lawnmower Man, The ",1992,"Lawnmower Man, The 1992",10163,104692
1038,Unhook the Stars ,1996,Unhook the Stars 1996,48862,118044
1039,Synthetic Pleasures ,1995,Synthetic Pleasures 1995,117036,114597
1040,"Secret Agent, The ",1996,"Secret Agent, The 1996",47199,117582
1041,Secrets & Lies ,1996,Secrets & Lies 1996,11159,117589
1042,That Thing You Do! ,1996,That Thing You Do! 1996,9591,117887
1043,To Gillian on Her 37th Birthday ,1996,To Gillian on Her 37th Birthday 1996,30500,117924
1044,Surviving Picasso ,1996,Surviving Picasso 1996,41843,117791
1045,Love Is All There Is ,1996,Love Is All There Is 1996,55058,116928
1046,Beautiful Thing ,1996,Beautiful Thing 1996,10938,115640
1047,"Long Kiss Goodnight, The ",1996,"Long Kiss Goodnight, The 1996",11412,116908
1049,"Ghost and the Darkness, The ",1996,"Ghost and the Darkness, The 1996",10586,116409
1050,Looking for Richard ,1996,Looking for Richard 1996,42314,116913
1051,Trees Lounge ,1996,Trees Lounge 1996,27845,117958
1052,"Proprietor, The ",1996,"Proprietor, The 1996",108365,117400
1053,Normal Life ,1996,Normal Life 1996,23223,117202
1054,Get on the Bus ,1996,Get on the Bus 1996,49471,116404
1055,Shadow Conspiracy ,1997,Shadow Conspiracy 1997,38153,120107
1056,Jude ,1996,Jude 1996,25147,116722
1057,Everyone Says I Love You ,1996,Everyone Says I Love You 1996,9716,116242
1058,Bitter Sugar ,1996,Bitter Sugar 1996,43777,115600
1060,Swingers ,1996,Swingers 1996,10218,117802
1061,Sleepers ,1996,Sleepers 1996,819,117665
1062,"Sunchaser, The ",1996,"Sunchaser, The 1996",38191,117781
1063,Johns ,1996,Johns 1996,56830,116714
1064,Aladdin and the King of Thieves ,1996,Aladdin and the King of Thieves 1996,11238,115491
1067,"Damsel in Distress, A ",1937,"Damsel in Distress, A 1937",66473,28757
1068,Crossfire ,1947,Crossfire 1947,28120,39286
1069,"Murder, My Sweet ",1944,"Murder, My Sweet 1944",1834,37101
1070,Macao ,1952,Macao 1952,26282,44863
1071,For the Moment ,1994,For the Moment 1994,37218,109823
1075,"Sexual Life of the Belgians, The ",1994,"Sexual Life of the Belgians, The 1994",116356,111622
1076,"Innocents, The ",1961,"Innocents, The 1961",16372,55018
1077,Sleeper ,1973,Sleeper 1973,11561,70707
1078,Bananas ,1971,Bananas 1971,11302,66808
1079,"Fish Called Wanda, A ",1988,"Fish Called Wanda, A 1988",623,95159
1080,Monty Python's Life of Brian ,1979,Monty Python's Life of Brian 1979,583,79470
1081,Victor/Victoria ,1982,Victor/Victoria 1982,12614,84865
1082,"Candidate, The ",1972,"Candidate, The 1972",21711,68334
1083,"Great Race, The ",1965,"Great Race, The 1965",11575,59243
1084,Bonnie and Clyde ,1967,Bonnie and Clyde 1967,475,61418
1085,"Old Man and the Sea, The ",1958,"Old Man and the Sea, The 1958",11331,52027
1086,Dial M for Murder ,1954,Dial M for Murder 1954,521,46912
1087,Madame Butterfly ,1995,Madame Butterfly 1995,21202,113731
1088,Dirty Dancing ,1987,Dirty Dancing 1987,88,92890
1089,Reservoir Dogs ,1992,Reservoir Dogs 1992,500,105236
1090,Platoon ,1986,Platoon 1986,792,91763
1091,Weekend at Bernie's ,1989,Weekend at Bernie's 1989,8491,98627
1092,Basic Instinct ,1992,Basic Instinct 1992,402,103772
1093,"Doors, The ",1991,"Doors, The 1991",10537,101761
1094,"Crying Game, The ",1992,"Crying Game, The 1992",11386,104036
1095,Glengarry Glen Ross ,1992,Glengarry Glen Ross 1992,9504,104348
1096,Sophie's Choice ,1982,Sophie's Choice 1982,15764,84707
1097,E.T. the Extra-Terrestrial ,1982,E.T. the Extra-Terrestrial 1982,601,83866
1098,"Search for One-eye Jimmy, The ",1996,"Search for One-eye Jimmy, The 1996",67365,117577
1099,"Christmas Carol, A ",1938,"Christmas Carol, A 1938",25842,29992
1100,Days of Thunder ,1990,Days of Thunder 1990,2119,99371
1101,Top Gun ,1986,Top Gun 1986,744,92099
1102,American Strays ,1996,American Strays 1996,136311,115531
1103,Rebel Without a Cause ,1955,Rebel Without a Cause 1955,221,48545
1104,"Streetcar Named Desire, A ",1951,"Streetcar Named Desire, A 1951",702,44081
1105,Children of the Corn IV: The Gathering ,1996,Children of the Corn IV: The Gathering 1996,25750,115885
1106,"Leopard Son, The ",1996,"Leopard Son, The 1996",17642,116859
1107,Loser ,1991,Loser 1991,0,102336
1109,Charm's Incidents ,1996,Charm's Incidents 1996,0,115870
1110,Bird of Prey ,1996,Bird of Prey 1996,146341,115684
1111,Microcosmos ,1996,Microcosmos 1996,9305,117040
1112,Palookaville ,1996,Palookaville 1996,37616,117284
1113,"Associate, The ",1996,"Associate, The 1996",11112,115580
1114,"Funeral, The ",1996,"Funeral, The 1996",21612,116378
1115,Sleepover ,1995,Sleepover 1995,141210,114472
1116,"Single Girl, A ",1995,"Single Girl, A 1995",102461,113057
1117,"Eighth Day, The ",1996,"Eighth Day, The 1996",36998,116581
1120,"People vs. Larry Flynt, The ",1996,"People vs. Larry Flynt, The 1996",1630,117318
1122,Plutonium Circus ,1995,Plutonium Circus 1995,0,114147
1123,"Perfect Candidate, A ",1996,"Perfect Candidate, A 1996",124837,117320
1124,On Golden Pond ,1981,On Golden Pond 1981,11816,82846
1126,Drop Dead Fred ,1991,Drop Dead Fred 1991,10379,101775
1127,"Abyss, The ",1989,"Abyss, The 1989",2756,96754
1128,"Fog, The ",1980,"Fog, The 1980",790,80749
1129,Escape from New York ,1981,Escape from New York 1981,1103,82340
1130,"Howling, The ",1980,"Howling, The 1980",11298,82533
1131,Jean de Florette ,1986,Jean de Florette 1986,4480,91288
1132,Manon of the Spring ,1986,Manon of the Spring 1986,4481,91480
1133,Talking About Sex ,1994,Talking About Sex 1994,0,111357
1134,Johnny 100 Pesos ,1993,Johnny 100 Pesos 1993,49688,107274
1135,Private Benjamin ,1980,Private Benjamin 1980,10765,81375
1137,Hustler White ,1996,Hustler White 1996,44497,116587
1138,Dadetown ,1995,Dadetown 1995,85588,112777
1139,Everything Relative ,1996,Everything Relative 1996,278621,116245
1140,Entertaining Angels: The Dorothy Day Story ,1996,Entertaining Angels: The Dorothy Day Story 1996,99479,116212
1142,Get Over It ,1996,Get Over It 1996,0,116403
1143,Three Lives and Only One Death ,1996,Three Lives and Only One Death 1996,55049,117968
1145,Snowriders ,1996,Snowriders 1996,79306,117677
1146,Curtis's Charm ,1995,Curtis's Charm 1995,0,112759
1147,When We Were Kings ,1996,When We Were Kings 1996,10548,118147
1150,"Return of Martin Guerre, The ",1982,"Return of Martin Guerre, The 1982",4483,84589
1151,Faust ,1994,Faust 1994,18919,109781
1152,He Walked by Night ,1948,He Walked by Night 1948,31556,40427
1153,Raw Deal ,1948,Raw Deal 1948,26167,40723
1154,T-Men ,1947,T-Men 1947,26174,39881
1155,"Invitation, The ",1986,"Invitation, The 1986",0,92281
1157,"Symphonie pastorale, La ",1946,"Symphonie pastorale, La 1946",117500,39004
1158,Here Comes Cookie ,1935,Here Comes Cookie 1935,218713,26465
1159,Love in Bloom ,1935,Love in Bloom 1935,217802,26656
1160,Six of a Kind ,1934,Six of a Kind 1934,127973,25799
1161,"Tin Drum, The ",1979,"Tin Drum, The 1979",659,78875
1162,"Ruling Class, The ",1972,"Ruling Class, The 1972",30892,69198
1163,Mina Tannenbaum ,1994,Mina Tannenbaum 1994,86369,110521
1165,"Bloody Child, The ",1996,"Bloody Child, The 1996",124676,115715
1167,Dear God ,1996,Dear God 1996,38554,116059
1168,Bad Moon ,1996,Bad Moon 1996,49763,115610
1169,American Dream ,1990,American Dream 1990,41326,99028
1170,Best of the Best 3: No Turning Back ,1995,Best of the Best 3: No Turning Back 1995,36555,112483
1171,Bob Roberts ,1992,Bob Roberts 1992,10608,103850
1173,"Cook the Thief His Wife & Her Lover, The ",1989,"Cook the Thief His Wife & Her Lover, The 1989",7452,97108
1175,Delicatessen ,1991,Delicatessen 1991,892,101700
1176,"Double Life of Veronique, The ",1991,"Double Life of Veronique, The 1991",1600,101765
1178,Paths of Glory ,1957,Paths of Glory 1957,975,50825
1179,"Grifters, The ",1990,"Grifters, The 1990",18129,99703
1180,Hear My Song ,1991,Hear My Song 1991,54405,102014
1183,"English Patient, The ",1996,"English Patient, The 1996",409,116209
1184,Mediterraneo ,1991,Mediterraneo 1991,38251,102426
1185,My Left Foot ,1989,My Left Foot 1989,10161,97937
1186,"Sex, Lies, and Videotape ",1989,"Sex, Lies, and Videotape 1989",1412,98724
1187,Passion Fish ,1992,Passion Fish 1992,41768,105107
1188,Strictly Ballroom ,1992,Strictly Ballroom 1992,10409,105488
1189,"Thin Blue Line, The ",1988,"Thin Blue Line, The 1988",14285,96257
1190,Tie Me Up! Tie Me Down! ,1990,Tie Me Up! Tie Me Down! 1990,2469,101026
1191,Madonna: Truth or Dare ,1991,Madonna: Truth or Dare 1991,10174,102370
1192,Paris Is Burning ,1990,Paris Is Burning 1990,31225,100332
1193,One Flew Over the Cuckoo's Nest ,1975,One Flew Over the Cuckoo's Nest 1975,510,73486
1196,Star Wars: Episode V - The Empire Strikes Back ,1980,Star Wars: Episode V - The Empire Strikes Back 1980,1891,80684
1197,"Princess Bride, The ",1987,"Princess Bride, The 1987",2493,93779
1198,Raiders of the Lost Ark ,1981,Raiders of the Lost Ark 1981,85,82971
1199,Brazil ,1985,Brazil 1985,68,88846
1200,Aliens ,1986,Aliens 1986,679,90605
1203,12 Angry Men ,1957,12 Angry Men 1957,389,50083
1204,Lawrence of Arabia ,1962,Lawrence of Arabia 1962,947,56172
1206,"Clockwork Orange, A ",1971,"Clockwork Orange, A 1971",185,66921
1207,To Kill a Mockingbird ,1962,To Kill a Mockingbird 1962,595,56592
1208,Apocalypse Now ,1979,Apocalypse Now 1979,28,78788
1210,Star Wars: Episode VI - Return of the Jedi ,1983,Star Wars: Episode VI - Return of the Jedi 1983,1892,86190
1211,Wings of Desire ,1987,Wings of Desire 1987,144,93191
1212,"Third Man, The ",1949,"Third Man, The 1949",1092,41959
1214,Alien ,1979,Alien 1979,348,78748
1215,Army of Darkness ,1993,Army of Darkness 1993,766,106308
1216,"Big Blue, The ",1988,"Big Blue, The 1988",175,95250
1217,Ran ,1985,Ran 1985,11645,89881
1218,"Killer, The ",1989,"Killer, The 1989",10835,97202
1219,Psycho ,1960,Psycho 1960,539,54215
1220,"Blues Brothers, The ",1980,"Blues Brothers, The 1980",525,80455
1221,"Godfather: Part II, The ",1974,"Godfather: Part II, The 1974",240,71562
1222,Full Metal Jacket ,1987,Full Metal Jacket 1987,600,93058
1224,Henry V ,1989,Henry V 1989,10705,97499
1225,Amadeus ,1984,Amadeus 1984,279,86879
1226,"Quiet Man, The ",1952,"Quiet Man, The 1952",3109,45061
1227,Once Upon a Time in America ,1984,Once Upon a Time in America 1984,311,87843
1228,Raging Bull ,1980,Raging Bull 1980,1578,81398
1230,Annie Hall ,1977,Annie Hall 1977,703,75686
1231,"Right Stuff, The ",1983,"Right Stuff, The 1983",9549,86197
1232,Stalker ,1979,Stalker 1979,1398,79944
1234,"Sting, The ",1973,"Sting, The 1973",9277,70735
1235,Harold and Maude ,1971,Harold and Maude 1971,343,67185
1236,Trust ,1990,Trust 1990,37291,103130
1237,"Seventh Seal, The ",1957,"Seventh Seal, The 1957",490,50976
1238,Local Hero ,1983,Local Hero 1983,11235,85859
1240,"Terminator, The ",1984,"Terminator, The 1984",218,88247
1242,Glory ,1989,Glory 1989,9665,97441
1243,Rosencrantz and Guildenstern Are Dead ,1990,Rosencrantz and Guildenstern Are Dead 1990,18971,100519
1244,Manhattan ,1979,Manhattan 1979,696,79522
1245,Miller's Crossing ,1990,Miller's Crossing 1990,379,100150
1246,Dead Poets Society ,1989,Dead Poets Society 1989,207,97165
1247,"Graduate, The ",1967,"Graduate, The 1967",37247,61722
1248,Touch of Evil ,1958,Touch of Evil 1958,1480,52311
1250,"Bridge on the River Kwai, The ",1957,"Bridge on the River Kwai, The 1957",826,50212
1251,8 1/2 ,1963,8 1/2 1963,422,56801
1252,Chinatown ,1974,Chinatown 1974,829,71315
1253,"Day the Earth Stood Still, The ",1951,"Day the Earth Stood Still, The 1951",828,43456
1254,"Treasure of the Sierra Madre, The ",1948,"Treasure of the Sierra Madre, The 1948",3090,40897
1255,Bad Taste ,1987,Bad Taste 1987,9964,92610
1256,Duck Soup ,1933,Duck Soup 1933,3063,23969
1257,Better Off Dead... ,1985,Better Off Dead... 1985,13667,88794
1258,"Shining, The ",1980,"Shining, The 1980",694,81505
1259,Stand by Me ,1986,Stand by Me 1986,235,92005
1260,M ,1931,M 1931,832,22100
1261,Evil Dead II ,1987,Evil Dead II 1987,765,92991
1262,"Great Escape, The ",1963,"Great Escape, The 1963",5925,57115
1263,"Deer Hunter, The ",1978,"Deer Hunter, The 1978",11778,77416
1264,Diva ,1981,Diva 1981,4485,82269
1265,Groundhog Day ,1993,Groundhog Day 1993,137,107048
1266,Unforgiven ,1992,Unforgiven 1992,33,105695
1267,"Manchurian Candidate, The ",1962,"Manchurian Candidate, The 1962",982,56218
1268,Pump Up the Volume ,1990,Pump Up the Volume 1990,8428,100436
1269,Arsenic and Old Lace ,1944,Arsenic and Old Lace 1944,212,36613
1270,Back to the Future ,1985,Back to the Future 1985,105,88763
1271,Fried Green Tomatoes ,1991,Fried Green Tomatoes 1991,1633,101921
1272,Patton ,1970,Patton 1970,11202,66206
1273,Down by Law ,1986,Down by Law 1986,1554,90967
1274,Akira ,1988,Akira 1988,149,94625
1275,Highlander ,1986,Highlander 1986,8009,91203
1276,Cool Hand Luke ,1967,Cool Hand Luke 1967,903,61512
1277,Cyrano de Bergerac ,1990,Cyrano de Bergerac 1990,11673,99334
1278,Young Frankenstein ,1974,Young Frankenstein 1974,3034,72431
1279,Night on Earth ,1991,Night on Earth 1991,339,102536
1280,Raise the Red Lantern ,1991,Raise the Red Lantern 1991,10404,101640
1281,"Great Dictator, The ",1940,"Great Dictator, The 1940",914,32553
1282,Fantasia ,1940,Fantasia 1940,756,32455
1283,High Noon ,1952,High Noon 1952,288,44706
1284,"Big Sleep, The ",1946,"Big Sleep, The 1946",910,38355
1285,Heathers ,1989,Heathers 1989,2640,97493
1286,Somewhere in Time ,1980,Somewhere in Time 1980,16633,81534
1287,Ben-Hur ,1959,Ben-Hur 1959,665,52618
1288,This Is Spinal Tap ,1984,This Is Spinal Tap 1984,11031,88258
1289,Koyaanisqatsi ,1983,Koyaanisqatsi 1983,11314,85809
1290,Some Kind of Wonderful ,1987,Some Kind of Wonderful 1987,15143,94006
1291,Indiana Jones and the Last Crusade ,1989,Indiana Jones and the Last Crusade 1989,89,97576
1292,Being There ,1979,Being There 1979,10322,78841
1293,Gandhi ,1982,Gandhi 1982,783,83987
1294,M*A*S*H ,1970,M*A*S*H 1970,651,66026
1295,"Unbearable Lightness of Being, The ",1988,"Unbearable Lightness of Being, The 1988",10644,96332
1296,"Room with a View, A ",1986,"Room with a View, A 1986",11257,91867
1297,Real Genius ,1985,Real Genius 1985,14370,89886
1299,"Killing Fields, The ",1984,"Killing Fields, The 1984",625,87553
1300,My Life as a Dog ,1985,My Life as a Dog 1985,8816,89606
1301,Forbidden Planet ,1956,Forbidden Planet 1956,830,49223
1302,Field of Dreams ,1989,Field of Dreams 1989,2323,97351
1303,"Man Who Would Be King, The ",1975,"Man Who Would Be King, The 1975",983,73341
1304,Butch Cassidy and the Sundance Kid ,1969,Butch Cassidy and the Sundance Kid 1969,642,64115
1305,"Paris, Texas ",1984,"Paris, Texas 1984",655,87884
1306,Until the End of the World ,1991,Until the End of the World 1991,10341,101458
1307,When Harry Met Sally... ,1989,When Harry Met Sally... 1989,639,98635
1308,I Shot a Man in Vegas ,1995,I Shot a Man in Vegas 1995,266022,113369
1309,Parallel Sons ,1995,Parallel Sons 1995,168450,114089
1310,Hype! ,1996,Hype! 1996,30180,116589
1311,Santa with Muscles ,1996,Santa with Muscles 1996,31388,117550
1312,Female Perversions ,1996,Female Perversions 1996,41801,116293
1313,Mad Dog Time ,1996,Mad Dog Time 1996,66034,116953
1314,Breathing Room ,1996,Breathing Room 1996,0,115754
1315,Paris Was a Woman ,1995,Paris Was a Woman 1995,96288,114093
1316,Anna ,1996,Anna 1996,0,115548
1317,I'm Not Rappaport ,1996,I'm Not Rappaport 1996,61536,116601
1318,Blue Juice ,1995,Blue Juice 1995,18762,112537
1321,"American Werewolf in London, An ",1981,"American Werewolf in London, An 1981",814,82010
1322,Amityville 1992: It's About Time ,1992,Amityville 1992: It's About Time 1992,41671,103678
1323,Amityville 3-D ,1983,Amityville 3-D 1983,27214,85159
1324,Amityville: Dollhouse ,1996,Amityville: Dollhouse 1996,52263,115535
1325,Amityville: A New Generation ,1993,Amityville: A New Generation 1993,33519,106262
1326,Amityville II: The Possession ,1982,Amityville II: The Possession 1982,16235,83550
1327,"Amityville Horror, The ",1979,"Amityville Horror, The 1979",11449,78767
1328,"Amityville Curse, The ",1990,"Amityville Curse, The 1990",41848,99030
1330,April Fool's Day ,1986,April Fool's Day 1986,24913,90655
1331,Audrey Rose ,1977,Audrey Rose 1977,49126,75704
1332,"Believers, The ",1987,"Believers, The 1987",32076,92632
1333,"Birds, The ",1963,"Birds, The 1963",571,56869
1334,"Blob, The ",1958,"Blob, The 1958",8851,51418
1335,Blood Beach ,1981,Blood Beach 1981,37843,82083
1336,Body Parts ,1991,Body Parts 1991,32146,101492
1337,"Body Snatcher, The ",1945,"Body Snatcher, The 1945",30346,37549
1341,Burnt Offerings ,1976,Burnt Offerings 1976,13549,74258
1342,Candyman ,1992,Candyman 1992,9529,103919
1343,Cape Fear ,1991,Cape Fear 1991,1598,101540
1344,Cape Fear ,1962,Cape Fear 1962,11349,55824
1345,Carrie ,1976,Carrie 1976,7340,74285
1346,Cat People ,1982,Cat People 1982,6217,83722
1347,"Nightmare on Elm Street, A ",1984,"Nightmare on Elm Street, A 1984",377,87800
1348,Nosferatu ,1922,Nosferatu 1922,653,13442
1350,"Omen, The ",1976,"Omen, The 1976",794,75005
1352,Albino Alligator ,1996,Albino Alligator 1996,8744,115495
1353,"Mirror Has Two Faces, The ",1996,"Mirror Has Two Faces, The 1996",25189,117057
1354,Breaking the Waves ,1996,Breaking the Waves 1996,145,115751
1355,Nightwatch ,1997,Nightwatch 1997,2212,119791
1356,Star Trek: First Contact ,1996,Star Trek: First Contact 1996,199,117731
1357,Shine ,1996,Shine 1996,7863,117631
1358,Sling Blade ,1996,Sling Blade 1996,12498,117666
1359,Jingle All the Way ,1996,Jingle All the Way 1996,9279,116705
1360,Identification of a Woman ,1982,Identification of a Woman 1982,53234,84116
1361,Paradise Lost: The Child Murders at Robin Hood Hills ,1996,Paradise Lost: The Child Murders at Robin Hood Hills 1996,17204,117293
1363,"Preacher's Wife, The ",1996,"Preacher's Wife, The 1996",21539,117372
1364,Zero Kelvin ,1995,Zero Kelvin 1995,85589,113557
1365,Ridicule ,1996,Ridicule 1996,12709,117477
1366,"Crucible, The ",1996,"Crucible, The 1996",20539,115988
1367,101 Dalmatians ,1996,101 Dalmatians 1996,11674,115433
1368,"Forbidden Christ, The ",1950,"Forbidden Christ, The 1950",199512,42354
1369,I Can't Sleep ,1994,I Can't Sleep 1994,64900,110171
1370,Die Hard 2 ,1990,Die Hard 2 1990,1573,99423
1371,Star Trek: The Motion Picture ,1979,Star Trek: The Motion Picture 1979,152,79945
1372,Star Trek VI: The Undiscovered Country ,1991,Star Trek VI: The Undiscovered Country 1991,174,102975
1373,Star Trek V: The Final Frontier ,1989,Star Trek V: The Final Frontier 1989,172,98382
1375,Star Trek III: The Search for Spock ,1984,Star Trek III: The Search for Spock 1984,157,88170
1376,Star Trek IV: The Voyage Home ,1986,Star Trek IV: The Voyage Home 1986,168,92007
1377,Batman Returns ,1992,Batman Returns 1992,364,103776
1378,Young Guns ,1988,Young Guns 1988,11967,96487
1379,Young Guns II ,1990,Young Guns II 1990,9086,100994
1380,Grease ,1978,Grease 1978,621,77631
1381,Grease 2 ,1982,Grease 2 1982,9037,84021
1382,Marked for Death ,1990,Marked for Death 1990,10173,100114
1383,Adrenalin: Fear the Rush ,1996,Adrenalin: Fear the Rush 1996,55687,115471
1384,"Substance of Fire, The ",1996,"Substance of Fire, The 1996",168535,117773
1385,Under Siege ,1992,Under Siege 1992,8845,105690
1386,Terror in a Texas Town ,1958,Terror in a Texas Town 1958,46681,52287
1387,Jaws ,1975,Jaws 1975,578,73195
1388,Jaws 2 ,1978,Jaws 2 1978,579,77766
1389,Jaws 3-D ,1983,Jaws 3-D 1983,17692,85750
1390,My Fellow Americans ,1996,My Fellow Americans 1996,17795,117119
1391,Mars Attacks! ,1996,Mars Attacks! 1996,75,116996
1392,Citizen Ruth ,1996,Citizen Ruth 1996,13891,115906
1393,Jerry Maguire ,1996,Jerry Maguire 1996,9390,116695
1394,Raising Arizona ,1987,Raising Arizona 1987,378,93822
1395,Tin Men ,1987,Tin Men 1987,10896,94155
1396,Sneakers ,1992,Sneakers 1992,2322,105435
1397,Bastard Out of Carolina ,1996,Bastard Out of Carolina 1996,41240,115633
1398,In Love and War ,1996,In Love and War 1996,26949,116621
1399,Marvin's Room ,1996,Marvin's Room 1996,9819,116999
1400,Somebody is Waiting ,1996,Somebody is Waiting 1996,49799,117691
